epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.9259,1.35708,0.79006,0.98029,0.66687,0.000299349,0.000299349,0.000299349
2,25.4055,0.31186,0.91774,0.99914,0.26884,0.000590423,0.000590423,0.000590423
3,32.7872,0.1939,0.93745,1,0.17952,0.000869498,0.000869498,0.000869498
4,41.0536,0.16787,0.92545,0.99829,0.23601,0.000855005,0.000855005,0.000855005
5,49.608,0.14619,0.95458,0.99914,0.14557,0.000837007,0.000837007,0.000837007
6,57.985,0.12929,0.94859,0.99914,0.18823,0.000819009,0.000819009,0.000819009
7,65.9143,0.1229,0.96915,0.99743,0.10814,0.000801011,0.000801011,0.000801011
8,73.7128,0.11273,0.96487,0.99914,0.13937,0.000783013,0.000783013,0.000783013
9,81.5392,0.07523,0.96572,0.99914,0.12654,0.000765014,0.000765014,0.000765014
10,89.1168,0.05917,0.95973,0.99829,0.16633,0.000747016,0.000747016,0.000747016
11,96.6497,0.08724,0.95973,1,0.15524,0.000729018,0.000729018,0.000729018
12,104.105,0.08926,0.96572,1,0.10395,0.00071102,0.00071102,0.00071102
13,111.089,0.08192,0.97087,0.99829,0.09697,0.000693022,0.000693022,0.000693022
14,118.236,0.06249,0.96401,0.99829,0.12935,0.000675023,0.000675023,0.000675023
15,125.469,0.07435,0.98029,1,0.07852,0.000657025,0.000657025,0.000657025
16,132.71,0.05836,0.96487,1,0.1115,0.000639027,0.000639027,0.000639027
17,139.543,0.05169,0.98029,0.99829,0.0632,0.000621029,0.000621029,0.000621029
18,146.762,0.06167,0.96829,1,0.13986,0.000603031,0.000603031,0.000603031
19,153.543,0.10225,0.97515,1,0.0832,0.000585032,0.000585032,0.000585032
20,160.471,0.04016,0.97601,0.99914,0.08748,0.000567034,0.000567034,0.000567034
21,167.25,0.09391,0.97686,1,0.11172,0.000549036,0.000549036,0.000549036
22,174.139,0.11687,0.97172,0.99914,0.09738,0.000531038,0.000531038,0.000531038
23,181.096,0.05292,0.97601,1,0.11215,0.00051304,0.00051304,0.00051304
24,187.879,0.05349,0.97943,1,0.06386,0.000495041,0.000495041,0.000495041
25,194.652,0.03382,0.97943,1,0.11348,0.000477043,0.000477043,0.000477043
